번호,총량지점명,일자,수온(℃),수소이온농도(pH),전기전도도(㎛hos/㎝),용존산소(㎎/L),BOD(㎎/L),COD(㎎/L),부유물질(㎎/L),총질소(T-N)(㎎/L),총인(T-P)(㎎/L),총유기탄소(TOC)(㎎/L),유량(㎥/s)
1,갑천A,2008.12.02,12,7.5,679,10.1,2.9,8.5,5.7,20.242,0.56,5.75,7.589
2,갑천A,2008.12.09,9,7.3,541,10,3.5,7.6,4.8,19.195,0.553,5.42,5.853
3,갑천A,2008.12.16,9,7.3,542,8.6,3.1,7.7,3.8,20.414,0.485,5.14,6.687
4,갑천A,2009.01.06,6,7.3,566,11.6,5.4,10.1,5.2,22.728,0.617,6.2,7.1
5,갑천A,2009.01.13,5,7.5,595,12.3,5.1,9.3,4.3,21.491,0.536,6.3,5.59
6,갑천A,2009.02.03,10,7.3,588,8.6,5.7,9.7,7.8,23.45,0.477,6,6.723
7,갑천A,2009.02.10,10,7.4,580,10.3,6.4,11.2,9.4,22.385,0.619,6.7,5.667
8,갑천A,2009.02.17,6,7.2,535,10.5,6.5,11.2,6,23.557,0.484,7.5,6.972
9,갑천A,2009.02.24,10,7.4,555,10.2,6.6,10.3,7.4,23.983,0.571,7.1,6.27
10,갑천A,2009.03.03,10,7.5,596,10.8,6.1,11.9,12.4,23.747,0.379,7.8,11.067
11,갑천A,2009.03.10,11,7.5,527,10.6,6.1,9.3,8.7,23.586,0.395,6.2,5.281
12,갑천A,2009.03.17,12,7.5,583,10,6.1,10.1,9.6,21.581,0.379,6.5,5.803
13,갑천A,2009.03.24,13,7.7,409,10,6.2,9,16.6,16.753,0.305,6.1,10.339
14,갑천A,2009.03.31,14,7.6,570,10.9,6.9,9.9,8.2,18.431,0.485,7,9.232
15,갑천A,2009.04.07,15,7.7,505,10.8,8.3,13.2,8.2,16.981,0.559,8.1,5.094
16,갑천A,2009.04.14,18,7.6,658,10,10.5,15.6,14.3,12.959,0.483,8.3,4.948
17,갑천A,2009.04.21,16,7.5,555,7.2,12.2,13.9,11.2,7.921,0.577,8,7.978
18,갑천A,2009.04.28,17,7.7,600,12.9,6.5,13.2,12.8,9.858,0.869,7.9,5.725
19,갑천A,2009.05.12,22,7.4,492,10.5,7.1,16.2,18.8,9.494,1.01,7.9,19.828
20,갑천A,2009.05.19,20,7.3,399,8.5,5.6,10,17.9,7.794,0.707,5.4,14.649
21,갑천A,2009.05.26,23,7.5,422,8.2,2.6,8.1,11.5,9.064,0.656,5.2,8.889
22,갑천A,2009.06.02,23,8.1,577,11.1,5.2,11.2,16.4,7.733,0.796,6.7,6.658
23,갑천A,2009.06.09,19,7.6,525,8.4,4.3,11.9,19,9.212,0.733,6.7,7.184
24,갑천A,2009.06.16,26,8.3,627,10.7,6.6,14.7,19,11.79,0.542,6.8,5.237
25,갑천A,2009.06.23,26,7.5,419,7.6,5.2,10.2,10.6,9.052,0.405,5.1,7.564
26,갑천A,2009.06.30,27,7.2,326,6.3,4.6,11.4,12.7,8.734,0.511,6.7,8.941
27,갑천A,2009.07.07,24,7.2,378,5.9,7.1,38.5,682,20.328,0.761,5.9,203.372
28,갑천A,2009.07.14,22,7.3,197,8.1,4,6.4,38.2,9.942,0.252,2.6,81.605
29,갑천A,2009.07.21,25,7.5,124,7.1,4.1,9.8,266,7.593,0.338,4.1,124.859
30,갑천A,2009.08.11,27,7.6,465,8.2,3.9,8.6,11.8,6.786,0.352,5.2,7.026
31,갑천A,2009.08.18,27,7.7,420,7.7,3,7.2,10.2,6.03,0.328,4.5,11.769
