번호,총량지점명,일자,수온(℃),수소이온농도(pH),전기전도도(?S/㎝),용존산소(㎎/L),BOD(㎎/L),COD(㎎/L),부유물질(㎎/L),총질소(T-N)(㎎/L),총인(T-P)(㎎/L),총유기탄소(TOC)(㎎/L),유량(㎥/s)
1,금본A,2018.11.01,9.7,8.1,188,12.1,0.5,2.9,0.9,3.314,0.017,1.6,3.996
2,금본B,2018.11.01,14.1,7.7,104,11.2,0.9,4.5,2.8,1.406,0.016,2.9,9.473
3,금본B1,2018.11.01,7.7,8.1,201,12.4,0.5,2.4,0.6,2.405,0.01,1.3,1.109
4,금본B2,2018.11.01,10.1,7.8,111,12.5,0.5,2.1,0.5,1.609,0.004,1.2,0.454
5,금본C,2018.11.01,12,8.3,125,10.6,0.7,3.8,1.8,1.475,0.015,2.3,6.571
6,금본C1,2018.11.01,12,8.3,125,10.6,0.6,2.3,0.6,2.106,0.022,1.4,3.287
7,금본D,2018.11.01,10.8,7.7,152,12.4,0.5,3.3,0.7,1.675,0.015,2.2,14.694
8,금본E,2018.11.01,11.3,7.7,169,13.7,0.7,3.3,0.5,1.778,0.007,1.9,16.906
9,금본F1,2018.11.01,14.5,7.6,108,13,0.5,1.5,0.1,1.785,0.013,1.5,0.088
10,금본F2,2018.11.01,10.4,8,352,12.1,0.9,3.1,1.6,3.981,0.053,2,0.839
11,보청A,2018.11.01,10.5,7.8,202,12.5,0.6,2.8,0.9,1.646,0.022,2,5.198
12,초강A,2018.11.01,10.5,8,193,12,0.5,2.9,0.6,2.157,0.014,2.1,2.445
13,초강A1,2018.11.01,7.8,7.7,160,13.2,0.5,2.1,1.2,1.748,0.012,1.6,0.206
14,갑천A,2018.11.05,16.1,7.8,606,10.7,1.9,7.3,2.5,8.006,0.086,5,9.335
15,금본G,2018.11.05,14.5,8.6,346,9.8,1.4,5.9,2.4,4.198,0.047,3.9,24.265
16,미호C,2018.11.05,13.3,7.9,627,11.3,1.5,6,2,5.766,0.061,4.3,18.277
17,금본H,2018.11.06,13.5,7.8,494,10.5,0.8,5.6,2.4,4.838,0.04,3.5,45.084
18,논산A,2018.11.06,12.6,7.7,325,12.1,3.6,6.5,9,4.011,0.104,4.3,3.636
19,논산A1,2018.11.12,11.6,7.9,101,11.4,0.5,1.9,0.4,1.822,0.007,1.1,3.063
20,논산A2,2018.11.12,11.9,7.4,180,10.5,0.5,2.2,3.5,2.577,0.04,1.4,0.366
21,논산A3,2018.11.12,12.2,7.4,234,12.2,0.6,2.9,1.4,2.862,0.07,1.9,0.455
