,이름,분류번호,대권역,수계,중권역,수질목표,주소,위도(DMS도),위도(DMS분),위도(DMS초),경도(DMS도),경도(DMS분),경도(DMS초),위도(Degree),경도(Degree),RCH_ID,본/지류,하천/호소,수량,총량,자동,퇴적물,방사성,예보,주요,중권역,보대,조사기관
구량천,금본B1,3001A05,금강,금강,용담댐,,전라북도무주군안성면진도리 (세월교),35,51,51.24,127,37,1.65,35.86423333,127.617125,30010307,지,하천,,1,,,,,,,,금강물환경연구소
가막,금본A,3001A10,금강,금강,용담댐,Ib,전라북도진안군진안읍가막리 (가막교),35,48,6.84,127,31,3.6,35.8019,127.5176667,30010407,본,하천,1,1,,1,,,,1,,금강물환경연구소
진안천,,3001A20,금강,금강,용담댐,,전라북도 진안군 진안읍 운산리,35,48,31.89,127,27,47.66,35.80885833,127.4632389,30010505,지,하천,1,,,,,,,,,한국수자원공사
정자천,금본B2,3001A30,금강,금강,용담댐,,전라북도 진안군 정천면 월평리 (구암교),35,51,22.68,127,26,24.83,35.8563,127.4402306,30010603,지,하천,,1,,,,,,,,금강물환경연구소
용담,금본B,3002A40,금강,금강,용담댐하류,,전라북도 진안군 용담면 송풍리 (신감동교),35,58,4.35,127,32,13.44,35.967875,127.5370667,30020102,본,하천,,1,,,,,,,,금강물환경연구소
용포,,3002A50,금강,금강,용담댐하류,Ia,전라북도 무주군 무주읍 용포리 (용포교),35,59,26.5,127,37,0.9,35.99069444,127.6169167,30020110,본,하천,1,,,,,,,1,,새만금지방환경청
무주남대천,,3003A10,금강,금강,무주남대천,,전라북도 무주군 무주읍 읍내리 (중앙교),36,0,15.5,127,39,24.5,36.00430556,127.6568056,30030312,지,하천,1,,,,,,,,,새만금지방환경청
무주남대천-1,,3003A20,금강,금강,무주남대천,Ia,전라북도 무주군 무주읍 대차리 (서면교),36,0,11.1,127,37,28,36.00308333,127.6244444,30030312,지,하천,1,,,1,,,,1,,새만금지방환경청
무주남대천-2,금본C1,3003A30,금강,금강,무주남대천,,전라북도 무주군 무주읍 읍내리 (금강본류합류전),36,0,0.35,127,37,34.68,36.00009722,127.6263,30030312,지,하천,,1,,,,,,,,금강물환경연구소
부리,금본C,3004A05,금강,금강,영동천,,충청남도 금산군 부리면 수통리 (적벽교),36,2,45.51,127,35,44.68,36.045975,127.5957444,30040105,본,하천,,1,,,,,,,,금강물환경연구소
제원,,3004A20,금강,금강,영동천,,충청남도 금산군 제원면 저곡리 (제원대교),36,6,28.9,127,34,8.71,36.10802778,127.5690861,30040117,본,하천,1,,,,,,,,,금강유역환경청
봉황천,봉황천,3004A30,금강,금강,영동천,,충청남도 금산군 제원면 제원리 (제원교),36,6,27.5,127,33,13.95,36.10763889,127.553875,30040319,지,하천,1,,1,,,,,,,금강유역환경청
제원A,금본D,3004A40,금강,금강,영동천,,충청남도 금산군 제원면 천내리 (원골장수교),36,6,48.2,127,35,29.58,36.11338889,127.59155,30040401,본,하천,,1,,,,,,,,금강물환경연구소
영동,,3004A50,금강,금강,영동천,Ia,충청북도 영동군 심천면 고당리 (양강교),36,12,32.64,127,42,35.1,36.20906667,127.70975,30040504,본,하천,1,,,1,,,,1,,금강유역환경청
영동천1,,3004A60,금강,금강,영동천,,충청북도 영동군 영동읍 부용리 (영동교),36,10,16.12,127,46,36.33,36.17114444,127.7767583,30040606,지,하천,1,,,,,,,,,충청북도
영동천2,,3004A70,금강,금강,영동천,,충청북도 영동군 심천면 초강리 (초강교),36,12,41.04,127,42,49.1,36.2114,127.7136389,30040607,지,하천,1,,,1,,,,,,충청북도
추풍령천,,3005A10,금강,금강,초강,,충청북도 영동군 황간면 광평리 (광평교),36,11,10.61,127,56,4.39,36.18628056,127.9345528,30050107,지,하천,1,,,,,,,,,충청북도
초강1,,3005A20,금강,금강,초강,,충청북도 영동군 매곡면 장척리 (내장교),36,12,9.12,127,56,2.69,36.20253333,127.9340806,30050107,지,하천,1,,,,,,,,,충청북도
금계천,초강A1,3005A25,금강,금강,초강,,충청북도 영동군 황간면 금계리 (용암교),36,15,20.16,127,51,28.1,36.2556,127.8578056,30050303,지,하천,,1,,,,,,,,금강물환경연구소
석천,,3005A27,금강,금강,초강,,충청북도 영동군 황간면 우매리 (반야사 상류 시군 경계지점),36,16,48.8,127,54,32.2,36.28022222,127.9089444,30050208,지,하천,1,,,,,,,,,충청북도
초강2,초강A,3005A30,금강,금강,초강,Ia,충청북도 영동군 심천면 심천리 (심천교),36,13,38.11,127,43,25.94,36.22725278,127.7238722,30050307,지,하천,1,1,,1,,,,1,,금강물환경연구소
이원,금본E,3006A05,금강,금강,대청댐상류,,충청북도 옥천군 이원면 지탄리 (이원대교),36,14,14.47,127,40,17.24,36.23735278,127.6714556,30060101,본,하천,,1,1,,,,,,,금강물환경연구소
옥천,,3006A10,금강,금강,대청댐상류,,충청북도 옥천군 동이면 적하리,36,17,1.67,127,38,47.78,36.28379722,127.6466056,30060105,본,하천,1,,,,1,,1,,,금강유역환경청
우산,,3006A20,금강,금강,대청댐상류,Ia,충청북도 옥천군 동이면 우산리,36,16,31.07,127,40,30.39,36.27529722,127.6751083,30060105,본,하천,1,,,1,,,,1,,금강유역환경청
보청천1,,3007A10,금강,금강,보청천,,충청북도 보은군 내북면 이원리 (이원교부근),36,32,22.88,127,40,50.4,36.53968889,127.6806667,30070101,본,하천,1,,,1,,,,1,,금강유역환경청
보청천2,,3007A20,금강,금강,보청천,,충청북도 보은군 보은읍 이평리 (보은대교),36,29,1.55,127,43,27.59,36.48376389,127.7243306,30070301,지,하천,1,,,,,,,,,충청북도
항건천,,3007A30,금강,금강,보청천,,충청북도 보은군 수한면 교암리 (병원교),36,28,37.45,127,41,24.55,36.47706944,127.6901528,30070201,지,하천,1,,,,,,,,,충청북도
삼가천,,3007A35,금강,금강,보청천,,충청북도 보은군 탄부면 임한리 (탄부교),36,26,14,127,48,42.2,36.43722222,127.8117222,30070401,지,하천,1,,,,,,,,,충청북도
보청천3,보청A,3007A40,금강,금강,보청천,,충청북도 옥천군 청산면 대성리 (대성리암잠수교),36,22,26.02,127,49,12.2,36.37389444,127.8200556,30070503,지,하천,1,1,,,,,,,,금강물환경연구소
보청천4,,3007A50,금강,금강,보청천,Ib,충청북도 옥천군 청성면 고당리,36,17,36.84,127,41,25.74,36.29356667,127.6904833,30070602,지,하천,1,,,,,,,1,,금강유역환경청
상곡천,금본F1,3008A02,금강,금강,대청댐,,충청남도 금산군 군북면 상곡리 (상곡교),36,13,0.45,127,34,10.68,36.21679167,127.5696333,30080206,지,하천,,1,,,,,,,,금강물환경연구소
추풍천,금본F2,3008A05,금강,금강,대청댐,,충청남도금산군추부면성당리 (도계교),36,14,16.46,127,30,50.66,36.23790556,127.5140722,30080204,지,하천,,1,,,,,,,,금강물환경연구소
옥천천,옥천천,3008A10,금강,금강,대청댐,,충청북도 옥천군 군북면 지오리 (각신),36,19,52.82,127,33,40.8,36.33133889,127.5613333,30080303,지,하천,1,,1,,,,,,,한국수자원공사
회인천,,3008A20,금강,금강,대청댐,,충청북도 보은군 회인면 죽암리 (죽암교),36,28,57.84,127,36,17.22,36.48273333,127.6047833,30080403,지,하천,1,,,,,,,,,충청북도
주원천,,3008A30,금강,금강,대청댐,,대전광역시 동구 세천동 (세천교),36,21,25.94,127,24,8,36.35720556,127.4022222,30080404,지,하천,1,,,,,,,,,대전광역시
대청댐,,3008A40,금강,금강,대청댐,,대전광역시 동구 추동 (추동취수탑),36,22,6.11,127,28,43.66,36.36836389,127.4787944,30080401,본,하천,1,,,,1,,1,,,금강물환경연구소
품곡천,,3008A50,금강,금강,대청댐,,충청북도 청주시 문의면 노현리 (노현교),36,30,38.08,127,31,41.22,36.51057778,127.5281167,30080406,지,하천,1,,,,,,,,,충청북도
대청,금본F,3008A52,금강,금강,대청댐,,충청북도 청주시 현도면 하석리 (대청교),36,28,22.65,127,28,38.57,36.47295833,127.4773806,30080401,본,하천,,1,,,,1,,,,금강물환경연구소
용호천,금본G1,3008A55,금강,금강,대청댐,,대전광역시 대덕구 용호동 (수도교),36,26,42.55,127,27,15.66,36.44515278,127.45435,30080502,지,하천,,1,,,,,,,,금강물환경연구소
현도,현도,3008A60,금강,금강,대청댐,Ia,대전광역시 대덕구 석봉동,36,26,45.86,127,27,17.12,36.44607222,127.4547556,30080503,본,하천,1,,1,1,,1,,1,,금강유역환경청
두계천1,,3009A05,금강,금강,갑천,,충청남도 계룡시 엄사면 엄사리 (두계교),36,15,38.09,127,16,57.99,36.26058056,127.282775,30090113,지,하천,1,,,,,,,,,충청남도
봉곡2교,,3009A10,금강,금강,갑천,,대전광역시서구봉곡동(봉곡2교),36,15,11.73,127,19,30.76,36.25325833,127.3252111,30090115,지,하천,1,,,,,,,,,대전광역시
갑천1,,3009A15,금강,금강,갑천,,대전광역시 서구 정림동 (가수원교),36,18,22.15,127,21,29.25,36.30615278,127.358125,30090203,지,하천,1,,,,,,,,,대전광역시
갑천2,,3009A20,금강,금강,갑천,,대전광역시서구월평동(만년교),36,21,5.93,127,20,56.97,36.35164722,127.3491583,30090203,지,하천,1,,,,,,1,,,대전광역시
갑천3,,3009A25,금강,금강,갑천,,대전광역시 서구 삼천동 (대덕대교),36,22,25.34,127,22,45.96,36.37370556,127.3794333,30090607,지,하천,1,,,,,,,,,대전광역시
유등천A,유등A,3009A30,금강,금강,갑천,,충청남도 금산군 복수면 지량리 (징검다리식보),36,14,49.02,127,22,27.51,36.24695,127.3743083,30090307,지,하천,,1,,,,,,,,금강물환경연구소
침산교,,3009A35,금강,금강,갑천,,대전광역시중구침산동(침산교),36,16,38.48,127,23,52.45,36.27735556,127.3979028,30090503,지,하천,1,,,,,,,,,대전광역시
유등천1,,3009A40,금강,금강,갑천,,대전광역시 중구 산성동 (버드내다리),36,18,15.23,127,22,53.76,36.30423056,127.3816,30090503,지,하천,1,,,,,,,,,대전광역시
옥계교,,3009A45,금강,금강,갑천,,대전광역시 중구 옥계동(옥계교),36,17,50.01,127,27,23.97,36.297225,127.4566583,30090401,지,하천,1,,,,,,,,,대전광역시
대전천1,,3009A50,금강,금강,갑천,,대전광역시 중구 문창동( 문창교),36,18,54.17,127,26,21.95,36.31504722,127.4394306,30090401,지,하천,1,,,,,,,,,대전광역시
대전천2,,3009A55,금강,금강,갑천,,대전광역시 중구 선화동(영교),36,19,59.1,127,25,31.47,36.33308333,127.4254083,30090403,지,하천,1,,,,,,,,,대전광역시
대전천3,,3009A60,금강,금강,갑천,,대전광역시 동구 삼성동 (현암교),36,20,20.66,127,25,5.95,36.33907222,127.4183194,30090404,지,하천,1,,,,,,,,,대전광역시
유등천5,,3009A62,금강,금강,갑천,,대전광역시 대덕구 오정동 (한밭대교),36,21,25.94,127,24,8,36.35720556,127.4022222,30090508,지,하천,1,,,,,,,,,대전광역시
갑천4,,3009A65,금강,금강,갑천,,대전광역시 유성구 전민동 (갑천교),36,24,17.23,127,24,43.98,36.40478611,127.4122167,30090610,지,하천,1,,,,1,,,,,대전광역시
갑천5,,3009A70,금강,금강,갑천,,대전광역시 유성구 (신구교),36,26,10.67,127,23,31,36.43629722,127.3919444,30090614,지,하천,1,,,,,,,,,대전광역시
갑천5-1,갑천A,3009A80,금강,금강,갑천,III,대전광역시 유성구 문평동 (금강합류0.5km전),36,27,13.72,127,23,59.87,36.45381111,127.3999639,30090614,지,하천,1,1,,1,1,1,1,1,,금강물환경연구소
세종1,금본G-1,3010A15,금강,금강,대청댐하류,,세종특별자치시 부강면 금호리,36,29,44.91,127,23,23.41,36.49580833,127.3898361,30100201,본,하천,,1,,,,,,,,금강물환경연구소
청원-1,금본G,3010A20,금강,금강,대청댐하류,,세종특별자치시 부강면 부강리 (동양시멘트옆가교),36,30,49.16,127,21,55.75,36.51365556,127.3654861,30100202,본,하천,1,1,,1,1,1,1,1,,금강물환경연구소
백천,금본G2,3010A30,금강,금강,대청댐하류,,세종특별자치시 부강면 부강리 (세월교),36,31,22.59,127,21,48.64,36.52294167,127.3635111,30100202,지,하천,,1,,,,,,,,금강물환경연구소
